,id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
3763,e90f4309-fb11-459b-8d6f-51e15bcc47b2,220000.0,68200.0,Borj Louzir,La Soukra,Ariana,138.0,4.0,3.0,3.0,0,2.0,36.883333,10.25,11.3450822580238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3770,602fe05f-d608-4175-ad3c-15189458df31,350000.0,108500.0,Aouina,La Marsa,tunis,137.0,4.0,3.0,2.0,10-20 ,1.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3772,3e51c47d-3e83-4a08-bdd2-bab4bca57bb3,315100.0,97681.0,Nouvelle Medina,Nouvelle Medina,Ben Arous,137.0,4.0,3.0,2.0,0,2.0,36.78898,10.18348,1.93004994234137,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3778,008880dc-4038-4d95-b780-4cf9479d743a,308000.0,95480.0,Nouvelle Medina,Nouvelle Medina,Ben Arous,136.0,4.0,3.0,2.0,5-10 ,1.0,36.78898,10.18348,1.93004994234137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3779,fba79d30-6580-4af1-bbe8-d780939158a3,270000.0,83700.0,Cité Ennasr 2,Ariana Ville,Ariana,136.0,4.0,3.0,1.0,10-20 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
3783,484de010-d43d-4df0-9b65-ac016d277bdc,450000.0,139500.0,El Manar 2,El Menzah,tunis,135.0,4.0,3.0,1.0,0,1.0,36.8385618,10.152483,4.76702859672002,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3784,8e663f80-1521-4454-a70e-e5ec62b18d67,439900.0,136369.0,Djerba,Djerba,Djerba,135.0,4.0,3.0,3.0,0,2.0,33.8122312792149,10.9869946185244,339.313153350383,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3787,ca390445-0994-4039-ba8f-593ea88e9dce,345000.0,106950.0,Borj Louzir,La Soukra,Ariana,135.0,4.0,3.0,1.0,1-5 ,2.0,36.8650901,10.2123551,7.27222631549826,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3788,63e97d31-091e-439f-ba03-b600f079860e,335000.0,103850.0,Bouhssina,Sousse Ville, Sousse,135.0,4.0,3.0,2.0,0,2.0,35.8273,10.6339,118.316885677645,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3789,4cc8f163-aa8e-4f68-92ea-7ec8434d9721,326040.0,101072.4,Cité Ennkhilet,Raoued,Ariana,135.0,4.0,3.0,2.0,0,2.0,36.8793282289745,10.1864765716805,7.98973024118805,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3791,1b459841-18fe-49d9-b79e-220202a614e1,271200.0,84072.0,Djerba,Djerba,Djerba,135.0,4.0,3.0,1.0,0,2.0,33.8122122501923,10.9870511930656,339.316790533737,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3792,83e23794-9d66-43ac-89bd-438bed1edfeb,250000.0,77500.0,Ben Arous,Ben Arous,Ben Arous,135.0,4.0,3.0,2.0,5-10 ,1.0,36.77228,10.22122,5.79063571012456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
